wallet_address,credit_score,cluster,transaction_count,liquidation_count,repayment_consistency_ratio,collateral_health_score
0xdbaae79e8c2e2200092035d995a0dbb80839ff5d,100,0,4,0,0.0,100.0
0xb9d771a2a3ebe8e52cbb684b7c80d6f945509461,100,0,3,0,0.0,100.0
0x72a38f45f57d8c25425a1712e7bf121159bf48dc,100,0,7,0,0.0,100.0
0xe9e9b34920131985d5e948c56cc8e34a9e1fcf22,100,0,12,0,0.0,100.0
0x361622264aed52ff036ff8314adff6657c4153e8,100,0,24,0,0.0,100.0
0x8183866223445441b6fb9206b9f0b583410977e6,100,0,4,0,0.0,100.0
0x38b7334d117b971dd45b417b847f8434f05f3014,100,0,3,0,1.0,100.0
0xb819706e897eacf235cdb5048962bd65873202c4,100,0,9,0,1.0,100.0
0x0be0ecc301a1c0175f07a66243cff628c24db852,100,1,137,0,0.6944444444444444,100.0
0xb36d37110417c0ca0b79b5d262868cc9444f7550,100,0,13,0,0.0,100.0
0x8662f71896d5770e2991a2e6fc1836c5c5ba3a67,100,0,32,0,0.6666666666666666,100.0
0xe0ad79cdd7d049c9c12afcbffa33c58e118c48b0,100,0,12,0,0.5,100.0
0x0029ab135b5be72168bf80f140d60a9264dbd0c5,100,0,12,0,1.0,100.0
0xca125321e0a8a60d882f1b38fb7077aaa8eaf53b,100,0,8,0,2.0,100.0
0xc801563cbb782aa5ab74911be68bca6cbd8f36c5,100,0,6,0,0.0,100.0
0xb6d94226eab23ac1602113bae51e0f37d92a50bf,100,0,8,0,0.0,100.0
0x23732c68e444c09fca1c139d9e90a58217560224,100,0,42,0,0.6666666666666666,100.0
0x7e5ce10826ee167de897d262fcc9976f609ecd2b,100,0,20,0,0.0,100.0
0xa06dd7ae30effce6d0aa7fd0fe1a0cd4a1329e4d,100,0,6,0,0.0,100.0
0xf3061977e324ac93e7621f397dffc7bc78489fd4,100,0,18,0,0.0,100.0
0x15c423e2c5e4980d556acd3a02ccb160d0a1d03a,100,0,8,0,0.0,100.0
0x8e5d30f161ba3ebb09dc3c1f06515656af34baa1,100,1,76,0,0.09090909090909091,100.0
0xe41b78ae5c2b19caf9949f38f3d49aa3f50a8afd,100,0,4,0,0.0,100.0
0xf157eba689047d5d6b0ac629bf46a62a59ad501f,100,0,38,0,0.0,100.0
0x82990656227e21064f63c9976013ab3181b7db7c,100,0,3,0,0.0,100.0
0x3b2e298b401d1e11ce6ee82b54792ca435ce81ec,100,0,9,0,0.0,100.0
0xc09544da6f50441c024ec150ecedc72de558ce94,100,0,11,0,0.0,100.0
0x14559df3fbe66cab6f893d8dd53f7bfe68de9c65,100,1,128,0,0.6666666666666666,100.0
0x65c0783de9b033d1d5d0d300349a0144af4b7535,100,0,5,0,0.0,100.0
0xc8315afc044408ff3b56b84fe991c84fe0816e12,100,0,38,0,0.0,100.0
0x2eeeedef8f6d93facfb10521103eb377cbf930a4,100,0,8,0,0.0,100.0
0x68f5924cafc5896405a6501939b938109707941d,100,0,12,0,0.0,100.0
0x8fdd427fdb9dbdc5d2798cc6711b616467a802f2,100,0,20,0,0.0,100.0
0x07326cbe4792e8e3c1f61c66fefee8253eb2db0c,100,1,191,0,1.625,100.0
0x124e1fafcadc2c017a17b4bbbbfff3867b7dee35,100,0,11,0,5.0,100.0
0x19360799a15730fac556088793895aa7650ee442,100,1,83,0,0.9047619047619048,100.0
